科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"31HC122
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31HE012
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月5",CA501,山村 崇斗,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 1班対象 G科目. 対面(オンライン併用型)
"31HE022
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月5",1B403,納谷 亮平,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 2班対象 G科目. 対面(オンライン併用型)
"31HE032
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月5",CA304,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 3班対象 G科目. 対面(オンライン併用型)
"31HE042
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月5",CA306,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 4班対象 G科目. 対面(オンライン併用型)
"31HE052
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月5",1C405,金谷 優,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 5班対象 G科目. 対面(オンライン併用型)
"31HE062
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 6班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31HE072
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木2",1B402,馬籠 清子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 7班対象 G科目. 対面(オンライン併用型)
"31HE082
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木2",CA501,吉原 ゆかり,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 8班対象 G科目. 対面(オンライン併用型)
"31HE092
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木2",共同利用棟A102,齋藤 一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「医学、看護、医療科学、芸術、総学4組」 9班対象 G科目. 対面(オンライン併用型)
